Hakusana,Sanaluokka,Pituus
3D-tulostin,substantiivi,11
3D-tulostus,substantiivi,11
4H-kerho,substantiivi,8
4H-kerholainen,substantiivi,14
4H-neuvoja,substantiivi,10
4H-toiminta,substantiivi,11
aah,interjektio,3
aakkonen,substantiivi,8
aakkosellinen,adjektiivi,13
aakkosellisesti,adverbi,15
aakkosellisuus,substantiivi,14
aakkosittain,adverbi,12
aakkosjärjestys,substantiivi,15
aakkosnimi,substantiivi,10
aakkosnumeerinen,adjektiivi,16
aakkostaa,verbi,9
aakkosto,substantiivi,8
aakkostus,substantiivi,9
aalloittain,adverbi,11
aalloittainen,adjektiivi,13
aalloittaisuus,substantiivi,14
aallokas,adjektiivi,8
aallokko,substantiivi,8
aallonharja,substantiivi,11
aallonmurtaja,substantiivi,13
aallonpituus,substantiivi,12
aallonpohja,substantiivi,11
aallota,verbi,7
aallotar,substantiivi,8
aallottaa,verbi,9
aallotus,substantiivi,8
aaloe,substantiivi,5
aalto,substantiivi,5
aaltoallas,substantiivi,10
aaltoalue,substantiivi,9
aaltoenergia,substantiivi,12
aaltoilla,verbi,9
aaltoilu,substantiivi,8
aaltoiluhäiriö,substantiivi,14
‑aaltoinen,adjektiivi,10
aaltolevy,substantiivi,9
aaltoliike,substantiivi,10
aaltomainen,adjektiivi,11
aaltomaisesti,adverbi,13
aaltopahvi,substantiivi,10
aaltopelti,substantiivi,10
aaltopituus,substantiivi,11
aaltosulje,substantiivi,10
aaltosulku,substantiivi,10
aaltosulkumerkki,substantiivi,16
aaltoviiva,substantiivi,10
aaltovoima,substantiivi,10
aaltovoimala,substantiivi,12
aamen,"adverbi, substantiivi",5
aamiainen,substantiivi,9
aamiaiskaappi,substantiivi,13
aamiaismajoitus,substantiivi,15
aamiaistapaaminen,substantiivi,17
aamiaistunti,substantiivi,12
aamu,substantiivi,4
aamuaskare,substantiivi,10
aamuateria,substantiivi,10
aamuaurinko,substantiivi,11
aamuhartaus,substantiivi,11
aamuhetki,substantiivi,9
aamuhämärä,"substantiivi, adjektiivi",10
aamuihminen,substantiivi,11
aamuinen,adjektiivi,8
aamuisin,adverbi,8
aamujumalanpalvelus,substantiivi,19
aamujuna,substantiivi,8
aamukahdeksan,substantiivi,13
aamukahvi,substantiivi,9
aamukampa,substantiivi,9
aamukaste,substantiivi,9
aamukylmä,"adjektiivi, substantiivi",9
aamulehti,substantiivi,9
aamulenkki,substantiivi,10
aamullinen,adjektiivi,10
aamulypsy,substantiivi,9
aamulähetys,substantiivi,11
aamulämpö,substantiivi,9
aamunavaus,substantiivi,10
aamunkoi,substantiivi,8
aamunkoite,substantiivi,10
aamunkoitto,substantiivi,11
aamunraikas,adjektiivi,11
aamunsarastus,substantiivi,13
aamuntorkku,adjektiivi,11
aamunvirkku,adjektiivi,11
aamupahoinvointi,substantiivi,16
aamupala,substantiivi,8
aamupesu,substantiivi,8
aamupuoli,substantiivi,9
aamupäivisin,adverbi,12
aamupäivä,substantiivi,9
aamupäivätoiminta,substantiivi,17
aamurukous,substantiivi,10
aamurusko,substantiivi,9
aamuruuhka,substantiivi,10
aamusella,adverbi,9
aamuselle,adverbi,9
aamutakki,substantiivi,9
aamutelevisio,substantiivi,13
aamutohveli,substantiivi,11
aamutoimi,substantiivi,9
aamutorkku,adjektiivi,10
aamutossu,substantiivi,9
aamutuimaan,adverbi,11
aamutähti,substantiivi,9
aamu-uninen,adjektiivi,11
aamu-unisuus,substantiivi,12
aamu-uutiset,substantiivi,12
aamuvarhain,adverbi,11
aamuvarhainen,"adjektiivi, substantiivi",13
aamuvartio,substantiivi,10
aamuvirkku,adjektiivi,10
aamuvoimistelu,substantiivi,14
aamuvuoro,substantiivi,9
aamuyö,substantiivi,6
aanelonen,substantiivi,9
aapa,substantiivi,4
aapasuo,substantiivi,7
aapinen,substantiivi,7
aapiskirja,substantiivi,10
aapiskukko,substantiivi,10
aaprotti,substantiivi,8
aari,substantiivi,4
aaria,substantiivi,5
aarnialue,substantiivi,9
aarnihauta,substantiivi,10
aarnihonka,substantiivi,10
aarnikotka,substantiivi,10
aarnio,substantiivi,6
aarnio,substantiivi,6
aarniohauta,substantiivi,11
aarniometsä,substantiivi,11
aarnipuu,substantiivi,8
aarnituli,substantiivi,9
aarnivalkea,substantiivi,11
aaroninparta,substantiivi,12
aarpora,substantiivi,7
aarre,substantiivi,5
aarreaitta,substantiivi,10
aarrehauta,substantiivi,10
aarrekammio,substantiivi,11
aarrekartta,substantiivi,11
aarrekätkö,substantiivi,10
aarrelöytö,substantiivi,10
aarretuli,substantiivi,9
aarrevalkea,substantiivi,11
aarteenetsijä,substantiivi,13
